SeniorCitizen,tenure,MonthlyCharges,TotalCharges,gender_Female,gender_Male,Partner_No,Partner_Yes,Dependents_No,Dependents_Yes,PhoneService_No,PhoneService_Yes,MultipleLines_No,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No,OnlineSecurity_Yes,OnlineBackup_No,OnlineBackup_Yes,DeviceProtection_No,DeviceProtection_Yes,TechSupport_No,TechSupport_Yes,StreamingTV_No,StreamingTV_Yes,StreamingMovies_No,StreamingMovies_Yes,Contract_Month-to-month,Contract_One year,Contract_Two year,PaperlessBilling_No,PaperlessBilling_Yes,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,-1.4841161860674406,-1.0343671110860062,-1.072278262984162,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0
0,-0.12091420613471054,-0.15906060822006068,-0.2715376178957267,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1
0,0.3334864538428661,-0.6322429058948248,-0.29252872183897477,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0
0,-0.6166240170193397,0.8793565160286531,-0.2457454717172537,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0
0,-1.1123338279039687,-1.0375970243807147,-0.9551371383121491,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1
0,1.0357420192627573,-0.18489991457772711,0.4167337687316544,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0
0,-0.9884063751828115,-0.3851545388496407,-0.8321830925481598,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1
0,-0.8644789224616543,-1.3864276602092096,-0.9444155282980593,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,0.8705054156345476,1.2427217616833353,1.3610750941292842,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0
0,-0.49269656429818237,1.4090622963608121,0.07144625586825755,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0
0,1.3249060756121243,1.6593805767007044,2.3144156825507882,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0
0,0.6226505101922332,-1.3315191341991688,-0.6446625639884773,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0,1.4075243774262292,1.4478212558973116,2.093567739730441,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0
0,-0.6579331679263921,0.9100406923283818,-0.2829912253806579,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0
0,-1.0297155260898638,-1.3589733972041889,-0.9980451077058858,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
0,0.8705054156345476,-0.06377816602616637,0.42411833145220224,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0
0,0.4987230574710758,-0.07346790591029113,0.1938405388604269,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0
0,-0.28615080976292023,-0.21235417758274758,-0.4260752015927877,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0
0,1.4488335283332816,0.9165005189177985,1.6574694818079465,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0
1,1.4075243774262292,1.1135252298950038,1.8286277139605842,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0
1,-1.442807035160388,1.0860709668899835,-1.0069151947054942,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0
0,-0.4100782624840775,0.13809141489310173,-0.2780179484464115,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1
0,-1.4841161860674406,-1.3460537440253562,-1.0764334250980563,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
1,-1.4841161860674406,-0.5369604637009302,-1.0656472270718333,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0
0,1.4488335283332816,1.2281871518571483,2.0373546398372917,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0
0,0.3747956047499186,0.4174789148853682,0.44271967894652675,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0
0,-1.1123338279039687,-0.39807419202847405,-0.8803011615872977,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1
0,1.3662152265191767,0.23660377038170438,1.0128380620451436,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0
0,-0.8231697715546018,-1.3282892209044603,-0.9050383702342638,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0,1.0770511701698098,0.5805895362681366,1.008144666496807,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0
0,-0.9884063751828115,0.4626977010112844,-0.6625319140119602,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0
0,0.4987230574710758,0.7307805044720721,0.5970419692698107,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0
0,-1.442807035160388,-0.4077639319125988,-1.043364362885924,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1
0,0.6226505101922332,0.5773596229734285,0.7309975064337999,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0
0,1.3249060756121243,0.07349314899893601,0.7466278053700032,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0
1,0.2508681520287613,0.9165005189177985,0.5677835997735297,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0
1,-0.49269656429818237,0.24629351026582913,-0.330463414298465,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0
1,0.9531237174486525,0.41909387153272226,0.8337139750627603,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0
0,1.0770511701698098,1.2201123686203776,1.6323878037629371,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0
1,1.2009786228909671,1.5043447385547066,1.961851253653732,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0
0,-0.12091420613471054,-1.1926328625267124,-0.7000575490612745,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,1.4488335283332816,1.4736605622549779,2.2965678618646828,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0
0,0.41610475565697097,1.247566631625398,0.9416836020118773,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0
0,0.9531237174486525,0.9051958223863197,1.2618679074928871,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0
0,1.4488335283332816,-0.6387027324842413,0.19026666885573024,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0
0,-0.7818606206475494,-0.2414233972351221,-0.6730167013148954,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0
0,-1.4014978842533357,0.43362848135890963,-0.9800250523207591,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0
0,0.41610475565697097,0.5499053599684082,0.48666105653439257,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0
0,-0.2448416588558678,0.559595099852533,-0.009870051407278873,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1
0,0.5400322083781283,-1.3476687006727102,-0.6842980741008051,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
0,-1.1123338279039687,0.5805895362681366,-0.7030501269567734,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1
0,-1.4841161860674406,-0.4142237585020155,-1.064010997431129,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1
0,0.6226505101922332,-1.3395939174359395,-0.6155118411790846,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1,1.1183603210768622,1.6060870073380173,1.9716040434858257,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0
0,1.0357420192627573,-1.2152422555896703,-0.4717173968334912,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
0,-1.4014978842533357,0.08479784553041483,-1.008745188382598,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0
1,0.7878871138204429,1.5705579610962264,1.5584560592079488,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0
0,0.3747956047499186,-0.20104948105126852,0.07265189876140808,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0
0,-1.1949521297180736,-0.23334861399835138,-0.8774808183908201,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1
1,-0.28615080976292023,0.41586395823801414,-0.17603347728829244,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0
0,0.3334864538428661,-1.1619486862269837,-0.5612794403246828,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
0,-1.0710246769969163,-0.3657750590813912,-0.841699059669099,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0
0,0.20955900112170886,1.3541537703507711,0.7782328726404524,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0
0,0.4987230574710758,-1.3476687006727102,-0.6660196666671461,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
0,-1.1536429788110212,1.2088076720888983,-0.6895297030835839,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0
0,-0.07960505522765812,0.008894883104770067,-0.13118786753056372,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0
0,0.4574139065640234,-1.3315191341991688,-0.6300010852342702,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
0,0.3747956047499186,-1.3541285272621268,-0.6859343037415097,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
0,-0.3274599606699727,-0.9084004925923832,-0.6505616024299644,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1
0,-0.28615080976292023,0.651647628751719,0.021562781164148965,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0
1,-1.4841161860674406,0.41424900159066014,-1.052966447356374,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0
0,1.2009786228909671,0.7146309379985306,1.3753490448106929,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
0,1.1596694719839147,1.588322484217122,1.9750487374662562,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0
0,1.4488335283332816,1.260486284804231,2.1266368019425737,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0
0,1.4075243774262292,0.16070080795605937,0.9595960107101154,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0
0,0.6226505101922332,-1.3202144376676896,-0.6083856305070691,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
0,-1.4841161860674406,-1.3460537440253562,-1.0764334250980563,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
0,-1.4841161860674406,-1.3702780937356682,-1.0767563651587218,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,0.04432239749349916,1.0699214004164421,0.46739229958135975,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0
1,1.2009786228909671,-0.5272707238168055,0.21836245413361607,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0
0,-1.318879582439231,-1.213627298942316,-1.041986485293752,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1
0,1.4488335283332816,1.3654584668822505,2.0594652693241797,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0
0,-0.2035325079488154,-1.0246773712018815,-0.685697481030355,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1
0,0.2508681520287613,1.048926964000838,0.6033285357840964,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1
0,1.4488335283332816,-1.3718930503830222,-0.4981338937959171,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,0.6226505101922332,-0.12676147527297782,0.22482125534692315,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0
0,0.2508681520287613,0.9617193050437147,0.6174517811038611,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0
0,1.1183603210768622,-0.23496357064570544,0.3889824528518117,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0
0,-1.4014978842533357,0.9035808657389652,-0.9781735293062777,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0
0,-0.03829590432060569,-0.9956081515495069,-0.6001398942914138,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0
0,0.16824985021465644,-1.3315191341991688,-0.725526755179082,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,-0.4100782624840775,0.7533898975350302,-0.1586808313618742,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0
0,0.7878871138204429,1.2249572385624397,1.289748399396996,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0
0,-1.2775704315321785,-1.3299041775518146,-1.0365826216119516,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
0,-1.236261280625126,-0.36093018913932856,-0.9342752103931673,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1
0,-1.3601887333462832,-1.325059307609752,-1.0580473709775087,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
0,-0.16222335704176297,0.8745116460865909,0.21853468883263763,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
0,1.4488335283332816,-1.237851648652628,-0.34282125395325924,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
0,-1.4841161860674406,-1.3605883538515433,-1.0766271891344554,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
1,1.4075243774262292,-0.17521017469360212,0.6309076169649176,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0
0,-0.9884063751828115,0.7776142472453423,-0.5616884977348588,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0
0,1.2422877737980196,-0.3657750590813912,0.31862457830151975,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0
0,0.2508681520287613,-1.1684085128164003,-0.5735081039552108,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
0,-0.5753148661122872,0.4239387414747849,-0.31933274687419916,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0
0,1.1183603210768622,-1.3460537440253562,-0.5349490607117675,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,0.8291962647274952,-1.3654332237936055,-0.5811079600495356,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
1,1.4488335283332816,0.8454424264342161,1.6816684570204703,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0
